Id,Title,Tags,Acceptance,Difficulty,Frequency,Link,Segment Tree,Binary Indexed Tree,Union Find,Binary Search,Queue,Database,Sort,Topological Sort,String,Recursion,Stack,Divide and Conquer,Heap,Line Sweep,Suffix Array,Graph,Geometry,Hash Table,Reservoir Sampling,Design,Brainteaser,Array,Trie,Memoization,Binary Search Tree,Breadth-first Search,Ordered Map,Linked List,Depth-first Search,Bit Manipulation,Random,Sliding Window,Minimax,Rolling Hash,Dynamic Programming,Greedy,Backtracking,Rejection Sampling,Two Pointers,Tree,Math,id,title,problem,processed_problem
20,Valid Parentheses,"String, Stack",39.1,Easy,0.0871853,https://leetcode.com/problems/valid-parentheses,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: Open brackets must be closed by the same type of brackets. Open brackets must be closed in the correct order.","['given', 'a', 'string', 's', 'containing', 'just', 'the', 'characters', 'and', 'determine', 'if', 'the', 'input', 'string', 'is', 'valid', 'an', 'input', 'string', 'is', 'valid', 'if', 'open', 'brackets', 'must', 'be', 'closed', 'by', 'the', 'same', 'type', 'of', 'brackets', 'open', 'brackets', 'must', 'be', 'closed', 'in', 'the', 'correct', 'order']"
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7,Medium,2.70742,https://leetcode.com/problems/search-in-rotated-sorted-array,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is rotated at an unknown pivot index k (0 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.","['there', 'is', 'an', 'integer', 'array', 'nums', 'sorted', 'in', 'ascending', 'order', 'with', 'distinct', 'values', 'prior', 'to', 'being', 'passed', 'to', 'your', 'function', 'nums', 'is', 'rotated', 'at', 'an', 'unknown', 'pivot', 'index', 'k', '0', 'k', 'nums', 'length', 'such', 'that', 'the', 'resulting', 'array', 'is', 'nums', 'k', 'nums', 'k', '1', 'nums', 'n', '1', 'nums', '0', 'nums', '1', 'nums', 'k', '1', '0', 'indexed', 'for', 'example', '0', '1', '2', '4', '5', '6', '7', 'might', 'be', 'rotated', 'at', 'pivot', 'index', '3', 'and', 'become', '4', '5', '6', '7', '0', '1', '2', 'given', 'the', 'array', 'nums', 'after', 'the', 'rotation', 'and', 'an', 'integer', 'target', 'return', 'the', 'index', 'of', 'target', 'if', 'it', 'is', 'in', 'nums', 'or', '1', 'if', 'it', 'is', 'not', 'in', 'nums', 'you', 'must', 'write', 'an', 'algorithm', 'with', 'o', 'log', 'n', 'runtime', 'complexity']"
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2,Hard,76.6909,https://leetcode.com/problems/trapping-rain-water,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.0,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.","['given', 'n', 'non', 'negative', 'integers', 'representing', 'an', 'elevation', 'map', 'where', 'the', 'width', 'of', 'each', 'bar', 'is', '1', 'compute', 'how', 'much', 'water', 'it', 'can', 'trap', 'after', 'raining']"
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8,Hard,13.8301,https://leetcode.com/problems/wildcard-matching,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,44.0,Wildcard Matching,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence). The matching should cover the entire input string (not partial).","['given', 'an', 'input', 'string', 's', 'and', 'a', 'pattern', 'p', 'implement', 'wildcard', 'pattern', 'matching', 'with', 'support', 'for', 'and', 'where', 'matches', 'any', 'single', 'character', 'matches', 'any', 'sequence', 'of', 'characters', 'including', 'the', 'empty', 'sequence', 'the', 'matching', 'should', 'cover', 'the', 'entire', 'input', 'string', 'not', 'partial']"
46,Permutations,Backtracking,64.0,Medium,0.173954,https://leetcode.com/problems/permutations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.0,Permutations,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.","['given', 'an', 'array', 'nums', 'of', 'distinct', 'integers', 'return', 'all', 'the', 'possible', 'permutations', 'you', 'can', 'return', 'the', 'answer', 'in', 'any', 'order']"
49,Group Anagrams,"Hash Table, String",57.3,Medium,13.8703,https://leetcode.com/problems/group-anagrams,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.","['given', 'an', 'array', 'of', 'strings', 'strs', 'group', 'the', 'anagrams', 'together', 'you', 'can', 'return', 'the', 'answer', 'in', 'any', 'order', 'an', 'anagram', 'is', 'a', 'word', 'or', 'phrase', 'formed', 'by', 'rearranging', 'the', 'letters', 'of', 'a', 'different', 'word', 'or', 'phrase', 'typically', 'using', 'all', 'the', 'original', 'letters', 'exactly', 'once']"
50,"Pow(x, n)","Math, Binary Search",30.5,Medium,0.219868,https://leetcode.com/problems/powx-n,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,"Pow(x, n)","Implement pow(x, n), which calculates x raised to the power n (i.e., xn).","['implement', 'pow', 'x', 'n', 'which', 'calculates', 'x', 'raised', 'to', 'the', 'power', 'n', 'i', 'e', 'xn']"
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7,Easy,0.339379,https://leetcode.com/problems/maximum-subarray,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.0,Maximum Subarray,"Given an integer array nums, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. A subarray is a contiguous part of an array.","['given', 'an', 'integer', 'array', 'nums', 'find', 'the', 'contiguous', 'subarray', 'containing', 'at', 'least', 'one', 'number', 'which', 'has', 'the', 'largest', 'sum', 'and', 'return', 'its', 'sum', 'a', 'subarray', 'is', 'a', 'contiguous', 'part', 'of', 'an', 'array']"
54,Spiral Matrix,Array,34.3,Medium,1.50266,https://leetcode.com/problems/spiral-matrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,Spiral Matrix,"Given an m x n matrix, return all elements of the matrix in spiral order.","['given', 'an', 'm', 'x', 'n', 'matrix', 'return', 'all', 'elements', 'of', 'the', 'matrix', 'in', 'spiral', 'order']"
56,Merge Intervals,"Array, Sort",39.5,Medium,1.23499,https://leetcode.com/problems/merge-intervals,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,Merge Intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input.","['given', 'an', 'array', 'of', 'intervals', 'where', 'intervals', 'i', 'starti', 'endi', 'merge', 'all', 'overlapping', 'intervals', 'and', 'return', 'an', 'array', 'of', 'the', 'non', 'overlapping', 'intervals', 'that', 'cover', 'all', 'the', 'intervals', 'in', 'the', 'input']"
62,Unique Paths,"Array, Dynamic Programming",54.4,Medium,0.802758,https://leetcode.com/problems/unique-paths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62.0,Unique Paths,A robot is located at the top-left corner of a m x n grid (marked 'Start' in the diagram below). The robot can only move either down or right at any point in time. The robot is trying to reach the bottom-right corner of the grid (marked 'Finish' in the diagram below). How many possible unique paths are there?,"['a', 'robot', 'is', 'located', 'at', 'the', 'top', 'left', 'corner', 'of', 'a', 'm', 'x', 'n', 'grid', 'marked', 'start', 'in', 'the', 'diagram', 'below', 'the', 'robot', 'can', 'only', 'move', 'either', 'down', 'or', 'right', 'at', 'any', 'point', 'in', 'time', 'the', 'robot', 'is', 'trying', 'to', 'reach', 'the', 'bottom', 'right', 'corner', 'of', 'the', 'grid', 'marked', 'finish', 'in', 'the', 'diagram', 'below', 'how', 'many', 'possible', 'unique', 'paths', 'are', 'there']"
64,Minimum Path Sum,"Array, Dynamic Programming",54.8,Medium,9.96589,https://leetcode.com/problems/minimum-path-sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64.0,Minimum Path Sum,"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time.","['given', 'a', 'm', 'x', 'n', 'grid', 'filled', 'with', 'non', 'negative', 'numbers', 'find', 'a', 'path', 'from', 'top', 'left', 'to', 'bottom', 'right', 'which', 'minimizes', 'the', 'sum', 'of', 'all', 'numbers', 'along', 'its', 'path', 'note', 'you', 'can', 'only', 'move', 'either', 'down', 'or', 'right', 'at', 'any', 'point', 'in', 'time']"
69,Sqrt(x),"Math, Binary Search",34.1,Easy,0.215686,https://leetcode.com/problems/sqrtx,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.0,Sqrt(x),"Given a non-negative integer x, compute and return the square root of x. Since the return type is an integer, the decimal digits are truncated, and only the integer part of the result is returned. Note: You are not allowed to use any built-in exponent function or operator, such as pow(x, 0.5) or x ** 0.5.","['given', 'a', 'non', 'negative', 'integer', 'x', 'compute', 'and', 'return', 'the', 'square', 'root', 'of', 'x', 'since', 'the', 'return', 'type', 'is', 'an', 'integer', 'the', 'decimal', 'digits', 'are', 'truncated', 'and', 'only', 'the', 'integer', 'part', 'of', 'the', 'result', 'is', 'returned', 'note', 'you', 'are', 'not', 'allowed', 'to', 'use', 'any', 'built', 'in', 'exponent', 'function', 'or', 'operator', 'such', 'as', 'pow', 'x', '0', '5', 'or', 'x', '0', '5']"
75,Sort Colors,"Array, Two Pointers, Sort",47.6,Medium,0.211683,https://leetcode.com/problems/sort-colors,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.0,Sort Colors,"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue. We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively. You must solve this problem without using the library's sort function.","['given', 'an', 'array', 'nums', 'with', 'n', 'objects', 'colored', 'red', 'white', 'or', 'blue', 'sort', 'them', 'in', 'place', 'so', 'that', 'objects', 'of', 'the', 'same', 'color', 'are', 'adjacent', 'with', 'the', 'colors', 'in', 'the', 'order', 'red', 'white', 'and', 'blue', 'we', 'will', 'use', 'the', 'integers', '0', '1', 'and', '2', 'to', 'represent', 'the', 'color', 'red', 'white', 'and', 'blue', 'respectively', 'you', 'must', 'solve', 'this', 'problem', 'without', 'using', 'the', 'library', 's', 'sort', 'function']"
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9,Hard,2.27291,https://leetcode.com/problems/minimum-window-substring,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,76.0,Minimum Window Substring,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """". The testcases will be generated such that the answer is unique. A substring is a contiguous sequence of characters within the string.","['given', 'two', 'strings', 's', 'and', 't', 'of', 'lengths', 'm', 'and', 'n', 'respectively', 'return', 'the', 'minimum', 'window', 'substring', 'of', 's', 'such', 'that', 'every', 'character', 'in', 't', 'including', 'duplicates', 'is', 'included', 'in', 'the', 'window', 'if', 'there', 'is', 'no', 'such', 'substring', 'return', 'the', 'empty', 'string', 'the', 'testcases', 'will', 'be', 'generated', 'such', 'that', 'the', 'answer', 'is', 'unique', 'a', 'substring', 'is', 'a', 'contiguous', 'sequence', 'of', 'characters', 'within', 'the', 'string']"
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5,Medium,0.208861,https://leetcode.com/problems/subsets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,78.0,Subsets,"Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order.","['given', 'an', 'integer', 'array', 'nums', 'of', 'unique', 'elements', 'return', 'all', 'possible', 'subsets', 'the', 'power', 'set', 'the', 'solution', 'set', 'must', 'not', 'contain', 'duplicate', 'subsets', 'return', 'the', 'solution', 'in', 'any', 'order']"
83,Remove Duplicates from Sorted List,Linked List,45.6,Easy,0.587764,https://leetcode.com/problems/remove-duplicates-from-sorted-list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,Remove Duplicates from Sorted List,"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well.","['given', 'the', 'head', 'of', 'a', 'sorted', 'linked', 'list', 'delete', 'all', 'duplicates', 'such', 'that', 'each', 'element', 'appears', 'only', 'once', 'return', 'the', 'linked', 'list', 'sorted', 'as', 'well']"
88,Merge Sorted Array,"Array, Two Pointers",39.6,Easy,0.122425,https://leetcode.com/problems/merge-sorted-array,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88.0,Merge Sorted Array,"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively. Merge nums1 and nums2 into a single array sorted in non-decreasing order. The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n.","['you', 'are', 'given', 'two', 'integer', 'arrays', 'nums1', 'and', 'nums2', 'sorted', 'in', 'non', 'decreasing', 'order', 'and', 'two', 'integers', 'm', 'and', 'n', 'representing', 'the', 'number', 'of', 'elements', 'in', 'nums1', 'and', 'nums2', 'respectively', 'merge', 'nums1', 'and', 'nums2', 'into', 'a', 'single', 'array', 'sorted', 'in', 'non', 'decreasing', 'order', 'the', 'final', 'sorted', 'array', 'should', 'not', 'be', 'returned', 'by', 'the', 'function', 'but', 'instead', 'be', 'stored', 'inside', 'the', 'array', 'nums1', 'to', 'accommodate', 'this', 'nums1', 'has', 'a', 'length', 'of', 'm', 'n', 'where', 'the', 'first', 'm', 'elements', 'denote', 'the', 'elements', 'that', 'should', 'be', 'merged', 'and', 'the', 'last', 'n', 'elements', 'are', 'set', 'to', '0', 'and', 'should', 'be', 'ignored', 'nums2', 'has', 'a', 'length', 'of', 'n']"
